id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13001950100,57365
13001950200,35475
13001950300,38017
13001950400,44336
13001950500,41555
13003960100,32157
13003960200,39655
13003960300,39375
13005970100,44022
13005970201,46563
13005970202,30863
13007960100,27266
13007960200,41063
13009970100,63948
13009970200,53349
13009970300,71754
13009970400,40685
13009970500,19408
13009970600,25497
13009970701,20912
13009970702,41875
13009970800,42356
13011970100,48234
13011970200,48913
13011970300,48430
13011970400,42025
13013180103,94730
13013180104,56779
13013180105,82784
13013180106,51012
13013180107,54958
13013180108,56000
13013180203,30339
13013180204,56827
13013180205,45549
13013180206,68661
13013180301,64792
13013180302,60625
13013180303,67273
13013180401,72256
13013180402,62667
13013180501,73866
13013180502,62212
13013180503,68469
13015960101,63125
13015960102,73497
13015960200,49531
13015960300,65576
13015960401,47885
13015960402,61650
13015960500,62716
13015960600,53471
13015960700,44015
13015960801,53527
13015960802,40551
13015960803,53636
13015960901,58240
13015960902,66733
13015961000,70000
13017960100,42115
13017960200,53681
13017960300,38613
13017960400,24012
13017960500,26422
13019970100,40217
13019970200,38902
13019970300,42539
13019970400,30845
13019970500,45440
13019970600,41406
13021010100,18542
13021010200,32578
13021010300,23792
13021010400,23281
13021010500,12788
13021010800,31667
13021011000,25220
13021011100,14865
13021011500,13750
13021011701,33347
13021011702,34300
13021011800,63504
13021011900,35061
13021012000,64503
13021012101,58229
13021012102,51070
13021012200,36071
13021012300,21205
13021012400,22361
13021012500,18387
13021012600,29082
13021012700,12891
13021012800,19122
13021012900,23846
13021013101,31555
13021013102,32363
13021013201,34544
13021013202,26339
13021013302,34886
13021013407,46630
13021013408,89600
13021013409,55132
13021013410,91116
13021013411,71875
13021013502,41523
13021013503,54375
13021013504,69118
13021013603,66996
13021013604,55000
13021013605,70379
13021013606,77143
13021013700,22439
13021013800,19063
13021013900,34261
13023790100,52849
13023790200,32014
13023790300,49940
13025960100,39881
13025960200,32080
13025960300,41158
13027960200,31359
13027960300,46957
13027960400,31076
13027960500,34965
13027960600,40833
13029920101,50125
13029920102,43323
13029920301,69107
13029920303,44596
13029920305,110750
13029920306,97172
13029980000,-
13031110100,41474
13031110200,43842
13031110300,62368
13031110401,24818
13031110403,23613
13031110404,29909
13031110500,46367
13031110601,58063
13031110602,39503
13031110700,58786
13031110800,43929
13031110900,47069
13033950100,67266
13033950200,47951
13033950400,30691
13033950500,45324
13033950700,37124
13033950900,45421
13035150100,56292
13035150200,39986
13035150300,43511
13037950100,43542
13037950200,30303
13039010100,53682
13039010200,70269
13039010301,44767
13039010302,48375
13039010401,62237
13039010402,85662
13039010403,81970
13039010500,40913
13039010601,38788
13039010602,55556
13039990000,-
13043950100,28212
13043950200,37792
13043950300,45833
13045910101,52500
13045910103,70526
13045910104,61494
13045910200,58781
13045910300,48596
13045910400,44850
13045910501,38916
13045910502,20167
13045910600,62132
13045910701,52351
13045910702,76841
13045910703,48595
13045910800,51037
13045910900,58707
13045911000,68179
13045911100,55677
13045911200,48029
13047030100,51455
13047030201,52178
13047030202,67568
13047030301,67318
13047030303,64966
13047030304,70333
13047030401,72078
13047030402,59625
13047030500,40594
13047030600,55694
13047030700,39254
13049010100,39746
13049010200,58333
13051000100,12048
13051000300,60313
13051000601,22222
13051000900,45417
13051001100,37277
13051001200,15357
13051001500,21208
13051002000,27813
13051002100,39450
13051002200,38295
13051002300,26885
13051002600,47853
13051002700,32166
13051002800,32008
13051002900,94375
13051003000,72670
13051003301,34102
13051003302,40536
13051003400,56063
13051003501,25570
13051003502,40160
13051003601,27093
13051003602,34141
13051003700,45870
13051003800,43993
13051003900,48712
