GEOID10,NUMPOINTS,income_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"13113140207",1,"115500"
"13113140208",0,"86880"
"13113140303",0,"89493"
"13113140304",0,"93657"
"13113140307",0,"188828"
"13113140408",0,"100142"
"13113140407",0,"72946"
"13113140405",3,"111544"
"13113140404",0,"79271"
"13113140206",3,"128284"
"13113140203",1,"94515"
"13113140204",0,"86016"
"13113140305",0,"97396"
"13113140403",1,"83958"
"13113140406",1,"52778"
"13113140306",2,"87547"
"13113140102",1,"73881"
"13113140101",0,"78607"
"13113140502",0,"80602"
"13113140501",0,"102739"
"13063040608",0,"68047"
"13063040514",0,"43905"
"13063040622",0,"51672"
"13063040619",0,"66216"
"13063040523",1,"41688"
"13063040620",0,"72700"
"13063040526",0,"54334"
"13063040525",0,"42925"
"13063040524",0,"48433"
"13063040516",0,"56328"
"13063040518",0,"43841"
"13063040515",1,"38977"
"13063040513",0,"63980"
"13121010510",0,"48051"
"13121010514",1,"66144"
"13121010400",0,"50980"
"13121010515",0,"55883"
"13247060404",0,"66244"
"13247060304",1,"45486"
"13247060101",0,"67048"
"13247060202",0,"74189"
"13247060201",0,"38269"
"13247060306",1,"75955"
"13247060407",0,"70987"
"13247060403",1,"69306"
"13247060406",0,"76657"
"13247060305",1,"50156"
"13247060309",0,"39056"
"13247060308",1,"50530"
"13247060405",0,"77429"
"13247060307",0,"65995"
"13247060102",0,"64428"
"13151070204",1,"88135"
"13151070205",1,"72316"
"13151070107",0,"69966"
"13151070110",0,"82901"
"13151070202",0,"102759"
"13135050728",0,"94167"
"13135050709",1,"64571"
"13135050416",0,"67833"
"13089023428",0,"39408"
"13089023312",1,"72651"
"13089023311",0,"82019"
"13089023418",0,"51555"
"13089023427",0,"62969"
"13089023315",0,"77260"
"13089023314",0,"53858"
"13089021907",1,"55048"
"13089023416",1,"59340"
"13089023316",0,"69120"
"13089023313",0,"55143"
"13089023214",0,"48150"
"13089023208",0,"41216"
"13089023310",1,"40830"
"13089023309",0,"46509"
"13089023211",0,"49980"
"13089023212",0,"60033"
"13089023306",0,"74544"
"13089023303",1,"48638"
"13089023210",1,"33682"
"13089023209",0,"59983"
"13067030330",2,"126546"
"13067030328",1,"136076"
"13067030700",0,"45298"
"13067030324",0,"101250"
"13067030312",0,"70437"
"13067030228",1,"50172"
"13067030231",1,"109602"
"13067030230",2,"79243"
"13067030311",0,"85197"
"13067031001",0,"29016"
"13067030310",0,"78692"
"13067030215",0,"75463"
"13067030601",0,"66991"
"13067030227",1,"65673"
"13067030602",1,"92684"
"13067030506",0,"65259"
"13067030507",0,"84545"
"13067030229",1,"67768"
"13067031208",0,"73611"
"13067031207",0,"78977"
"13067030226",1,"85264"
"13067031505",0,"72940"
"13067030313",2,"94408"
"13067031310",0,"38231"
"13067030214",0,"90469"
"13067031212",0,"184000"
"13067031211",1,"82330"
"13067031209",0,"149583"
"13067030224",0,"84429"
"13067031205",0,"87910"
"13067031206",2,"79192"
"13067030220",0,"91838"
"13067030905",1,"69261"
"13067030502",1,"96667"
"13067030209",1,"110000"
"13067030326",0,"156037"
"13067031108",0,"57610"
"13067030218",0,"147696"
"13067030219",2,"121469"
"13067030235",0,"105819"
"13067030234",0,"118810"
"13067030233",0,"102868"
"13067030337",1,"169188"
"13067030334",0,"123966"
"13067031111",0,"86115"
"13067031110",0,"66154"
"13067030405",0,"49406"
"13067031101",0,"59093"
"13067030232",0,"108375"
"13067030222",1,"111122"
"13067031118",0,"84936"
"13067031117",0,"90967"
"13067031507",0,"68688"
"13067031004",1,"44507"
"13067030103",1,"89863"
"13067031404",0,"78671"
"13067031306",0,"78824"
"13067030101",1,"89819"
"13067030104",0,"52119"
"13067031506",1,"56458"
"13067031508",0,"72361"
"13067031116",0,"50054"
"13067031115",1,"75123"
"13067030223",0,"76559"
"13067031312",0,"86808"
"13067031313",1,"117366"
"13067031309",0,"52960"
"13067031509",1,"81583"
"13067031113",0,"45917"
"13067031114",0,"56370"
"13067030345",0,"71676"
"13067030344",0,"49206"
"13067030411",0,"38994"
"13067030412",0,"46094"
"13067030414",0,"44578"
"13067030413",1,"50325"
"13067030239",2,"131750"
"13067030238",0,"113047"
"13067030236",0,"145938"
"13067030407",0,"74196"
"13067030408",1,"77577"
"13067030410",1,"67993"
"13067030409",0,"120156"
"13067030343",1,"127375"
"13067030342",0,"123281"
"13067030340",1,"160750"
"13067030341",0,"121167"
"13067031409",0,"58739"
"13067031408",0,"57975"
"13067030107",0,"100857"
"13067030106",1,"64326"
"13067030505",0,"51744"
"13067030800",0,"54205"
"13067030902",0,"63838"
"13067031311",0,"44250"
"13067031406",1,"45363"
"13067031405",0,"58530"
"13067030320",0,"95114"
"13067030318",0,"150164"
"13067031005",1,"70771"
"13067031002",0,"36536"
"13067030904",0,"43158"
"13067030901",0,"78655"
"13067031503",1,"65530"
"13067031307",2,"84342"
"13067031308",0,"53227"
"13067030319",1,"98938"
"13067030333",0,"140345"
"13067030332",1,"133646"
"13067030335",0,"153889"
"13067031106",0,"76182"
"13067030331",0,"115375"
"13067030322",0,"103639"
"13067031112",0,"101548"
"13067030504",0,"83611"
"13067030327",0,"115223"
"13067030329",0,"107072"
"13067030339",1,"75532"
"13067030314",1,"109192"
"13067030336",1,"180536"
"13121009501",1,"185521"
"13121003700",0,"23684"
"13121008102",0,"27119"
"13121004300",0,"36750"
"13121008904",0,"85517"
"13121008903",1,"75978"
"13121001001",2,"103846"
"13121009101",1,"79489"
"13121001201",0,"80476"
"13121001202",0,"93143"
"13121009102",0,"59444"
"13121006000",1,"38708"
"13121000700",0,"84107"
"13121001002",0,"31042"
"13121010110",1,"73727"
"13121010205",2,"103828"
"13121010210",0,"82212"
"13121010209",0,"61575"
"13121008902",1,"72432"
"13121008500",0,"24890"
"13121008601",0,"22696"
"13121005800",0,"42679"
"13121007900",2,"61125"
"13121008700",0,"33732"
"13121012000",0,"27188"
"13121011900",0,"25699"
"13121011800",0,"30972"
"13121003600",0,"53152"
"13121003500",0,"53889"
"13121010208",0,"72022"
"13121011422",1,"70833"
"13121011505",0,"166938"
"13121010123",0,"77969"
"13121001100",0,"109426"
"13121000400",0,"97257"
"13121009200",2,"71482"
"13121008201",0,"38080"
"13121007808",0,"12485"
"13121007806",0,"41529"
"13121008800",0,"103385"
"13121008602",0,"37708"
"13121010121",1,"90451"
"13121010211",0,"142750"
"13121009801",1,"125375"
"13121009603",0,"83243"
"13121009601",0,"107386"
"13121000500",1,"90140"
"13121009300",0,"106128"
"13121009900",0,"152500"
"13121009000",1,"111146"
"13121009700",0,"208750"
"13121010206",1,"192375"
"13121010204",0,"171875"
"13121007807",0,"24398"
"13121007805",0,"31174"
"13121011423",0,"128085"
"13121011418",1,"160820"
"13121002600",0,"33611"
"13121008202",0,"27093"
"13121010303",0,"71457"
"13121011506",1,"165266"
"13121011417",2,"96635"
"13121004900",0,"84655"
"13121004800",0,"19612"
"13121002800",0,"33165"
"13121011419",1,"124358"
"13121001800",1,"49486"
"13121001300",2,"76188"
"13121001900",0,"62656"
"13121002100",0,"68618"
"13121004400",0,"23587"
"13121003200",0,"111830"
"13121004200",0,"18913"
"13121003800",0,"20625"
"13121002500",0,"30283"
"13121002300",0,"26683"
"13121010113",0,"61583"
"13121010114",0,"72450"
"13121000600",0,"53686"
"13121010212",1,"67350"
"13121009802",1,"165583"
"13121010001",3,"108197"
"13121009502",2,"86053"
"13121003900",0,"33000"
"13121004100",0,"54208"
"13121002400",0,"28056"
"13121004000",0,"32417"
"13121008400",0,"24183"
"13121008302",0,"28318"
"13121008301",0,"25060"
"13097080102",0,"63078"
"13097080602",1,"73889"
"13097080603",1,"81139"
"13097080304",1,"39140"
"13097080303",0,"41587"
"13097080103",2,"48239"
"13097080201",0,"65668"
"13097080202",0,"55116"
"13097080301",0,"43484"
"13057090905",1,"63723"
"13057090902",1,"90045"
"13057091001",0,"53031"
"13057091003",0,"50705"
"13057091102",1,"74137"
"13057091103",0,"73997"
"13135050610",0,"118623"
"13135050605",2,"84466"
"13135050606",1,"90338"
"13135050210",2,"78525"
"13135050213",1,"113591"
"13135050208",1,"65292"
"13135050212",0,"139097"
"13135050109",0,"70771"
"13135050107",1,"102874"
"13135050108",1,"129112"
"13135050105",0,"53785"
"13135050103",0,"80772"
"13135050106",0,"66351"
"13121011617",0,"144125"
"13121011624",0,"196016"
"13121011626",0,"102699"
"13121011622",0,"149583"
"13121011623",3,"121389"
"13121011619",1,"93750"
"13121011621",0,"157692"
"13121011618",0,"122857"
"13121011614",2,"74184"
"13121011620",2,"141513"
"13121011613",0,"110066"
"13121011615",0,"161263"
"13121011504",1,"236149"
"13057090501",0,"91726"
"13057090502",2,"126988"
"13057090100",0,"74284"
"13063040411",1,"57924"
"13063040512",0,"41016"
"13063040614",0,"95603"
"13063040606",0,"45800"
"13063040612",0,"34517"
"13063040609",0,"58750"
"13063040412",1,"46530"
"13063040413",0,"54265"
"13063040613",0,"75135"
"13063040408",0,"44551"
"13063040409",0,"49519"
"13063040410",0,"49719"
"13063040303",1,"38023"
"13063040302",0,"35301"
"13063040611",1,"40995"
"13063040407",1,"49271"
"13063040510",0,"49265"
"13063040307",0,"41083"
"13063980000",0,"-"
"13063040621",1,"62705"
"13063040522",1,"38917"
"13063040520",0,"37731"
"13063040519",0,"33934"
"13063040417",0,"40231"
"13063040203",0,"39656"
"13063040617",0,"33359"
"13063040615",0,"62153"
"13063040521",0,"45682"
"13063040415",0,"31851"
"13063040414",0,"40313"
